Administratie;Vestiging_KPL;Vestiging_Naam;Vestiging_Dienst;Kindgroep_KPL;Kindgroep_Nr;Kindgroep_naam;Kindgroep_Dienst;Kindgroep_Maxbabies;Kindgroep_Maxkinderen;Kindgroep_Minleefijd_in_maanden;Kindgroep_Maxleefijd_in_maanden;Kindgroep_Startdatum;Kindgroep_Einddatum
033;;Carrousel CKA BSO;BSO;311001;1;Kersentuin (vert.);KDV;0;20;48;156;01/01/2020 00:00:00;12/31/2099 00:00:00
033;;Dapperdam KOV;KDV;312401;1;De Astronautjes;KDV;0;10;36;48;05/01/2019 00:00:00;12/31/2099 00:00:00
033;;Dapperdam KOV;KDV;312401;1;De Astronautjes;KDV;0;10;48;156;03/01/2019 00:00:00;12/31/2099 00:00:00
033;;Dapperdam KOV;KDV;312401;2;De Maantjes;KDV;0;10;0;48;05/01/2019 00:00:00;12/31/2099 00:00:00
033;;Dapperdam KOV;KDV;312401;3;De Raketjes;KDV;0;20;48;156;01/01/2020 00:00:00;12/31/2099 00:00:00
033;;Dapperdam KOV;KDV;312401;3;De Raketjes;KDV;5;13;0;48;05/01/2019 00:00:00;12/31/2099 00:00:00
033;;Dapperdam KOV;KDV;312401;99;zz Peutergroep kinderdreef;KDV;0;10;48;156;01/01/2020 00:00:00;12/31/2099 00:00:00
033;;Dobbelsteen TSO;TSO;352603;1;Dobbelsteen;TSO;0;30;48;156;09/01/2019 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;1;Speurneuzen 1;BSO;0;20;48;156;05/01/2017 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;1;Speurneuzen 1;BSO;0;22;48;156;01/01/2020 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;2;Speurneuzen 2;BSO;0;20;48;156;05/01/2017 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;3;Speurneuzen 3;BSO;0;20;48;156;05/01/2017 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;4;Vakantie Speurneuzen 1;FXB;0;20;48;152;01/01/2019 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;4;Vakantie Speurneuzen 1;FXB;5;16;24;48;08/01/2016 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;5;Vakantie Speurneuzen 2;FXB;0;20;48;152;01/01/2019 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;6;Vakantie Speurneuzen 3;FXB;0;20;48;152;01/01/2019 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;7;Vakantie Groep;FXB;0;20;48;152;12/01/2018 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;9;Zwemgroep Speurneuzen;SPC;0;10;0;156;01/01/2014 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314402;9;Zwemgroep Speurneuzen;SPC;0;15;48;156;07/01/2016 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314404;8;VSO Speurneuzen;VSO;0;20;48;144;01/01/2017 00:00:00;12/31/2099 00:00:00
033;;Kleurdoos KOV;KDV;314404;8;VSO Speurneuzen;VSO;0;20;48;156;01/01/2018 00:00:00;12/31/2099 00:00:00
